country,iso3,year,target,mortality_data,risk_factor_surveys,plan,tob_tax,smoke_free,graphic_warnings,tob_advert,tob_mass_media,alc_sales,alc_advert,alc_tax,salt,fat,child_food_marketing,milkcode,phys_mass_media,clinical_guide,cardio_therapies,total_imp,commercial_total
Serbia,SRB,2022,0,1,0.5,1,1,0.5,0.5,0.5,0,0.5,NR,0.5,0.5,0,1,0.5,1,1,1,11,5.5
Seychelles,SYC,2015,NA,1,0.5,0,0.5,1,1,0.5,NA,0.5,0.5,0.5,0,0,0,NA,1,NA,0,7,4.5
Seychelles,SYC,2017,1,1,0.5,1,0.5,1,1,0.5,1,0.5,0.5,0.5,0,0,0,0.5,1,0.5,0,11,6
Seychelles,SYC,2019,1,1,0.5,1,0.5,1,1,1,1,0.5,0,1,0,0,0,0.5,1,0.5,1,12.5,6.5
Seychelles,SYC,2022,1,1,0.5,1,0.5,1,1,1,0.5,0.5,0,1,0.5,0,1,0.5,0,1,0,12,7.5
Sierra Leone,SLE,2015,NA,0,0.5,0,0,0,0,0,NA,0.5,0,0.5,0,0,0,0,0,0,0,1.5,1
Sierra Leone,SLE,2017,0,0,0.5,0,0,0,0,0,0.5,0.5,0,1,0,0,0,0,0,0,0,2.5,2
Sierra Leone,SLE,2019,0,0,0,0,0,0,0,0,0,0.5,0,0.5,0,0,0,0,0,0,0,1,1
Sierra Leone,SLE,2022,0,0,0,1,0,0,0,0,0,0.5,0,0.5,0,NA,0,0,0,0.5,0,2.5,1
Singapore,SGP,2015,1,1,1,0,0.5,0.5,1,0.5,NA,0.5,0,0.5,1,1,1,0,1,1,NA,11.5,6.5
Singapore,SGP,2017,0.5,1,0.5,0.5,0.5,0.5,1,0.5,1,1,0,1,1,1,1,0,1,1,NA,13,8.5
Singapore,SGP,2019,0.5,1,0.5,0.5,0.5,0.5,1,0.5,0.5,0.5,0,0.5,1,1,1,0,1,1,NA,11.5,7
Singapore,SGP,2022,1,1,0.5,0,0.5,0.5,1,0.5,0.5,0.5,0,0.5,1,1,1,0,1,1,1,12.5,7
Slovak Republic,SVK,2015,0,1,1,0.5,0.5,0.5,0.5,0.5,NA,0.5,0.5,0.5,0,0,0,0,1,NA,0,7,3.5
